"incid_hosp"
48.0
123.0
27.0
41.0
36.0
330.0
50.0
21.0
7.0
53.0
33.0
23.0
549.0
75.0
12.0
29.0
22.0
40.0
43.0
56.0
36.0
13.0
36.0
38.0
82.0
66.0
99.0
11.0
14.0
13.0
62.0
137.0
19.0
130.0
106.0
84.0
27.0
75.0
179.0
32.0
12.0
47.0
109.0
14.0
110.0
78.0
35.0
20.0
9.0
65.0
25.0
87.0
27.0
21.0
115.0
26.0
70.0
271.0
32.0
539.0
117.0
41.0
271.0
66.0
28.0
35.0
32.0
132.0
55.0
333.0
33.0
90.0
69.0
49.0
118.0
536.0
144.0
197.0
201.0
28.0
127.0
27.0
20.0
269.0
119.0
44.0
58.0
20.0
61.0
55.0
28.0
222.0
239.0
315.0
298.0
252.0
12.0
9.0
9.0
51.0
144.0
