"numReg"
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
2.0
6.0
28.0
75.0
76.0
52.0
93.0
84.0
27.0
53.0
24.0
94.0
44.0
1.0
3.0
32.0
11.0
4.0
